id,hora,dia,semana,ramo
268 084 071,10:15,1,lunes,algebra
582 992 529,12:00,1,lunes,algebra
967 4865 3720,13:30,1,lunes,#extCEE
627 335 2770,14:30,1,lunes,fisica
171-451-814,8:30,2,martes,mate
986 5424 3451,8:30,4,jueves,#Hadware
959 7538 5287,12:00,4,jueves,#CEE
537 430 002,14:30,4,jueves,algebra
627 335 2770,16:15,4,jueves,fisica
986-8770-7776,8:30,5,viernes,#Hadware
366 342 588,10:15,5,viernes,algebra
994-4098-8201,12:00,5,viernes,mate
981-2739-3075,14:30,5,viernes,mate
998-668-3832,15:00,5,viernes,#Tmate